company,attendee_name,attendee_title
HP Inc,Nick Patel,CEO/Founder
Deloitte,Jennifer Radin,Principal
Apollo Enterprise Imaging Corp,John Ault,Regional Sales Director
Toptal,MARK KERR,Enterprise Account Executive
Socially Determined,Leah Broder,Vice President
Simplify Healthcare,Margaret Medlin,Vice President - Growth & GTM Strategies
CLEAR,Sam Adeyemi,"Senior Director, Channel Sales"
Cliniconex,Angela Hunt,Chief Revenue Officer
Datavant,Leah Sanfilippo,Life Science Partnerships
OnPoint Healthcare Partners,Frank Corcino,"Nat'l Market Leader, Financial Ops"
Kiira Health,Crystal Adesanya,CEO
Smart Communications,Randy Putnam,"Sr. Director, Strategic Partnerships"
Healthwise,Cory Petross,Director of Partner Success
Baton Rouge Area Chamber,Joshua Combs,Manager of Business Development
T-Mobile,Dago Goncalves,"Sr Manager, IoT Sales"
CLEAR,Alex Krinsky,Healthcare Business Development
CLEAR,Jaime Nardolillo,Business Development Manager
SAI Group,Mike Cashin,Head of Business Development
Rackspace Technology,Sandeep Misra,Head of Healthcare Vertical
RICOH USA,Scott Brewer,"Director, Regulatory Affairs and Quality"
Wilson Sonsini,Andrea Linna,Digital Health Attorney & Partner
CLEAR,Olivia Kim,Healthcare Business Development
MS&AD Ventures,DAIKI KOYA,Analyst
TytoCare,Joe Bernnan,Sr. Director Provider Solutions
Impilo,Hailey Minter,Marketing and Demand Generation Lead
RICOH USA,Rebecca Collins,Healthcare Product Manager
eMed,Ron Coursey,Executive Vice President
Biofourmis,Sean Smith,Senior Director Business Development
RICOH USA,Derek Mathers,"Director, Clinical Applications & Business Development"
IncludeHealth,Ryan Eder,CEO
Alvee,Nicole Cook,Founder & CEO
Elevance Health,Tracy Wang,Digital Solutions Director
StartUp Health,Jennifer Hankin,Chief of Staff
Spect,Michael Leung,Co-Founder
bitewell,Samantha Citro Alexander,CEO & Co-Founder
Summus,Amanda Walker,"Senior Vice President, Payer Solutions"
Inflect Health,Helen Abad,Venture Capital Associate
CLEAR,Ally Mueller,"Senior Partner Manager, Growth"
CLEAR,Jason Sherwin,"Sr Director, Healthcare Business Development"
CLEAR,Marcos Domiciano,"Senior Director, Healthcare Business Development"
CLEAR,Sam Spector,"Director, Healthcare Sales"
CLEAR Secure,Genevieve Burke,"Director, Healthcare Partner Enablement & Growth"
Joint Commission Resources,David Qu,Global Vice President
"MyUTI, Inc",Megan Henken,Co-Founder and CMO
Cepanoa Health,Laura Gómez,CEO and Co-Founder
Prism Labs Inc.,Paulo Melo,VP of Product
MSQ Advisory LLC,Mike Fox,Managing Partner
Infinity Care Partners,"DEAN ROTTINGHAUS, DC",Chief Clinical Officer
Lenus Health,Craig Turpie,COO
eddii,Farhaneh Ahmadi,Co-founder & CEO
Mayo Clinic,Alex Lin,Technology Development Manager
NIA,Rajesh Kumar,Program Officer
"CSD HealthIT Advisors, LLC",Capri Dye,Strategic Technology Advisor
Kismet Health Inc,Christie Sander,"Co-Founder, President & COO"
FTI Consulting,Erin Pezza,Director
Ellipsis Health,Nina Roth,"Director, Client Services"
Lena Health,Alex Harb,"Founder, CEO"
Tido Inc,Vik Patel,COO
Grapefruit Health,Eric Alvarez,Founder & CEO
Amazon Web Services,Justin Gernot,SI/ISV Success Manager
Broadcom End User Computing,Kristin Astourian,Senior Marketing Manager | End User Computing Division
WellMiss,Jennifer Johnson,Founder/CEO
Zócalo Health,Erik Cardenas,CEO
Thimble,Manju Dawkins,CEO/Co-Founder/MD
Affective Health,Elissa Ashwood,CEO
Primary.Health,Adi Chandrasekhar,Medical Director | MIT Catalyst Fellow
Decimal.health,Sarah Boone,"Associate Partner, Strategy Practice"
Canaccord Genuity,Matthew Kebel,Managing Director
AmalgamRx,Sarah Rosen,Vice President of Marketing
MultiCare Capital Partners,M. Ragan Hart,Investor
Superlanet,Adam Lyddane,Managing Partner
Rosarium Health,Cameron Carter,CEO
CueZen Inc,Jaydeo Kinikar,Head of Strategy & Growth
American Medical Association,Laura Fritsche,Project Administrator
Smart Communications,Doug Rowe,Account Director
Simpl Healthcare,Isaac Chapa,CoFounder / Chief Technology Officer
Smart Communications,John Zimmerer,"Vice President of Vertical Marketing, Healthcare"
MindCo Health,Emilio Goldenhersch,Co-Founder & CEO
Rackspace Technology,Jason Jones,Executive in Residence
VA/UC Irvine School of Medicine & Program in Public Health,Manijeh Berenji,Physician
AmalgamRx,Chris Bergstrom,President
Amalgam,Allan Bottemiller,"Senior Director, Healthcare Enterprise Solutions"
Blue Agilis,Nadia Adams,Co-Founder & CEO
Apollo Enterprise Imaging Corp,Kevin Stinson,Chief Revenue Officer
Awell Health,Jarrad Hicks,Commercial Director
OutCare Health,Christopher Roman,Executive Director
eVideon,Jason Friedman,VP Sales
Novo Holdings,Colby Ye,Vice President
Ontotext,Michael Wisniewski,Sales Executive
Beyond the Paper Gown Podcast,Mitzi Krockover,Podcast Host
Seal Shield,Scott Filion,Chief Commercial Officer
BioTraceIT Ltd.,Deborah Dullen,CEO
CHIME,Russ Branzell,President & CEO
HLTH,Rich Scarfo,President
"Scripted, Inc.",James Lott,CEO
cliexa,Mehmet Kazgan,"Founder, CEO"
CGM,Neil Simon,CTIO
Element Blue,Kristy Blasey,Senior Account Executive
RICOH USA,Erica Essig,"Senior Portfolio Manager, Healthcare"
"ZS Associates, Inc.",Shreesh Tiwari,Partner
Mercer,Elizabeth Zech,Senior Consultant
TeamBuilder,Evan Tsun,"VP, Head of Product"
Adventist Healthcare,Jennifer Stemmler,Chief Digital and Information Officer
Consensus Cloud Solutions,Russ Patten,Healthcare Sales Executive
Augmedix,Michael Leff,Head of Partnerships
MapHabit,Matt Golden,CEO
Corra Inc.,Aradhna Khivesara,EVP of Product
LONG HEALTH,Rohit Patil,Founder & CEO
Verizon,Karen Kimbro,Senior Client Partner
Lenovo,Shannon Mitchell,Healthcare Account Executive
Pear Suite,Keith Fessler,Head of Strategic Partnerships
Accenture,Kaveh Safavi,"Senior Managing Director, Global Health"
Abra,Allie Messimer,Vice President of Corporate Strategy and Development
Element Blue,Steven Gerhardt,SVP - Healthcare
Outcomes,Dan Schipfer,Senior Vice President
TeleVox inc,Megan Harrison,Senior Enterprise Sales Executive
Tiger Analytics,Gagandeep Singh,Growth Partner
Swapcard,Paul Perardel,CIM
ELLKAY,Tim Robinson,VP Hospital & Health systems
Clearstep,Kelsey Udy,Virtual Triage Product Manager
Holon Solutions,Jennifer Thorson,Marketing
Light-it,Josefina Ruiz,Head of Growth
Authenticx,Kayci Spandau,Events Marketing Manager
ScaleHealth,Johnny Lam,"Senior Vice President, Business Development"
TeleVox inc,Amber Day,Senior Strategic Account Executive
"Softek Solutions, Inc.",Ashley Mitts,Marketing Director
Suki AI,Navneet Grewal,Head of Demand Gen
Superlanet,Kiefer Cooksey,Director of Business Development
ThoroughCare,Vivek Subramany,VP of Marketing
Talkdesk,Jim Burke,"Senior Manager, Healthcare Marketing"
URAC,Laura Wood,"Director, Marketing and Communications"
Verato,Joe Hickey,"Vice President, Business Development"
Aegis Ventures,Daniel Towbin,"Director, Strategic Programs & Events"
Zscaler,Heather Peacock,Senior Healthcare Mktg Mgr
Asimily,Claire Walters,Demand Generation Manager
Axuall,Laura Hamilton,Senior Marketing Manager
Avanade,Michelle Ellington,Global Marketing and Alliances Leader
Bioscience Los Angeles,Dave Whelan,Chief Executive Officer
Axuall,Melissa Ankerman,National Sales Director
Clear Arch Health,Stephany Roca,Director of Marketing
Consensus Cloud Solutions,Alyssa Beard,Marketing Events Manager
HLTH,Bonnie Knight,Head of Client Experience
ClosedLoop,Kristen Oehlert,Trade Show Manager
DexCare,Jamie Gier,Chief Marketing Officer
Consensus Cloud Solutions,Maurya Tillman,Sales Executive
Divurgent,Brittany Williams,"Director, Marketing & Communications"
Deloitte,Sarah McDanolds,"Marketing Specialist, Health Care"
Ellipsis Health,Susan Solinsky,Co-Founder and Chief Growth Officer
First Dollar,Brett Banhazl,Sales Operations & Events Manager
Edgility,Heather Holland,Co-Founder
Ping Identity,Ashley Adams,Marketing Manager
Element Blue,Kimberly Chesser,Director - Marketing & Channel Sales
"Extreme Networks, Inc.",Ryan Hall,Marketing Manager - Major Accounts
Healthbook Plus,Christopher Turner,CEO
HITRUST Services Corp,Jessica Brown,Associate Director - Events
Health-ISAC,Kimberly Brennan,Events Coordinator
Harmony Healthcare IT,Casey Colvin,Marketing Specialist
Tungsten Automation,Judy Nugent,Sr. Field Marketing Manager
Komodo Health,Leslie Arsenault,Conference & Events Manager
Kyruus,Ashley Nyland,"Director, Growth Marketing"
Nordic,Gwen Cantarera,"Senior Manager, Client Partnerships, Operations"
MDClone,Daniel Blumenthal,VP of Strategy
Mocingbird,Katie Finneran,Marketing Manager
NeuroFlow,Will Crowley,Director of Marketing
Orion Health,Kara Hill,"Marketing Manager, North America"
Kno2,Madeline Crawford,Sr. Manager of Marketing Operations
Amtelco,JoEllen Graber,Trade Show and Events coordinator
Health Data Analytics Institute,Carola Endicott,VP Customer Engagement and Marketing
Healthlink Advisors,Charles Anastos,EVP & COO
Keysight Technologies,Amrapali Amrapali,Field Marketing Manager
98point6,Rory Burrill,"Director, Sales and Business Development"
Dell,Rich Fletcher,Senior Marketing Manager
scalehub,Jacquelyn McMullen,Global Marketing Director
POLICYMAP,Kristin Crandall,Outreach & Development
Agentifai,Rui Lopes,CEO
Impilo,David Sanchirico,BD Lead
CLEAR,Jen Villarosa,"Sr Manager, Partner Marketing"
CLEAR,David Bardan,"GM, Head of Healthcare"
Verily,Katy Robinson,Event Lead
"Yashi Care, Inc.",Dean Sawyer,CEO
Perx Health,Kelsey Kohl,VP Sales & Partnerships
TeleVox Healthcare,Steve Ganjoo,"VP, Channel Partnership"
11|TEN Innovation Partners,James Lewis,CEO
"Yashi Care, Inc.",Bonnie Feldman,Co-founder
Lynx MD,Victoria Holl,Head of Marketing
Medical Informatics Corp,Jennifer Lazarz,Events Planner & Tradeshow Manager
Caresyntax,Taiki Esheim,"VP, Commercial Excellence and Strategy"
Caresyntax,Matt Krueger,Chief Commercial Officer
Medical Informatics Corp,Mishan Pils,Business Development Director
Telegraph Hill Partners,Alex Efron,Investor
Corra Inc.,Elya Lane,Founder | Leader in Digital Health Innovations
Healthie,Erica Jain,CEO
Healthie,Rohan Siddhanti,"VP, Business Development"
AskTheHive,Alex Mohseni,"Cofounder, President"
Healthie,Nick Neral,Director of Marketplace
Molecular You,Jim Kean,CEO
Premier Pediatric Solutions,Alana Arnold,CEO & Founder
"MindStreet, Inc.",S.Brian Mukherjee,Executive Director
Hypherdata,Jana Miniarikova,CEO
Brooklyn Health,Anzar Abbas,Founder / CEO
Exin Health,Hasan Ertas,Founder & CEO
Definitive Healthcare,Hannah Mulvihill,Marketing Events Specialist
"tenXclinical, LLC",Salvatore Campo,Founder
CliniComp,Kem Graham,"Vice President, Sales"
Transformation Capital,Vinay Shah,Principal
Embold Health,Laura MacDonald,VP Business Development
Arcweb Technologies,Chris cera@arcwebtech.com,CEO
kore.ai,Nick Baker,Marketing Coordinator
Optum,Elizabeth elizabeth.aremu@optum.com,"Director, Strategy & Innovation"
Embold Health,Alice alice.williams@emboldhealth.com,"VP, Employer Sales"
Medical Informatics Corp,Emma Fauss,CEO
Memorial Care Innovation Fund,Caleb Winder,Managing Director
Previon,Tim tim.pham@previon.com,Sr. Director of Sales
Amazon Web Services,Yin He,Healthcare and Life Sciences Startups Business Development
Cloudticity,Kate Wang,Senior Director of Marketing
Science Center,Heath Naquin,Vice President
Cloudticity,Gerry Miller,Founder & CEO
Cloudticity,Josh Ray,Sr. Product Marketing Manager
Intertribal Holdings,Jay Calhoun,Co-Founder
Lucem Health,Conrad Gudmundson,"VP, Strategy"
WiL Ventures,Aki Jiang,Investor
MEDITECH,Mike Cordeiro,Senior Director Interoperability
Bellin Health,Andrea Werner,Chief Population Health Officer
AposHealth,Fred Lewis,COO
AposHealth,Seth Klein,"VP, Business Development Officer"
MEDITECH,Christine Silva,"Senior Director, Field Marketing"
Publicis,JohnMark Conklin,"Senior Manager, Global Comms & PR"
"Vivalink, Inc.",Samuel Godwin,Business Development Director
Apax Partners,Nicole Kruijs,Vice President
"TrustCommerce, a Sphere Company",Ryne Natzke,Chief Revenue Officer
1Call/Amtelco,Joe Curtin,Regional Sales Manager
TrustCommerce,Sunil Shah,"Senior Director, Strategic Partnerships"
"ROI Healthcare Solutions, LLC",Jeff Brewster,"Director, Business Development Sales"
Evernorth,Patrick Stewart,Mergers & Acquisitions Principal
Agentifai,Ana Sousa,Marketing Manager
Nordic,Geoff Roten,CIO Executive Partner
CVS Health Ventures,Sophia Michaels,Investor
American Securities,Alicia Barroso,Vice President
Estenda,Richard Kedziora,Co-Founder/Chief Digital Solution Architect
PwC,Walter Groszewski,Director
Genmab,Christopher Leggett,"Director, Commercial Innovation"
Bertelsmann,Thorsten Wirkes,"SVP, Bertelsmann Next"
Intercept Telehealth,David Mednick,CFO
Trualta,Nastran Andersen,Chief Revenue Officer
revology,Nic Beas,Senior Sales Executive
Tenovi,Nizan Friedman,CEO
NCQA,Edward Yurcisin,Chief Technology Officer
Huma,Kaushik Gune,Head of US
Cone Health,Johanna Dutton,Venture Director
Sidekick Health,Tryggvi Thorgeirsson,CEO
Flexpa,Brendan Keeler,Head of Product
Trualta,Jonathan Davis,Founder & CEO
Needham & Company,Matthew Stavris,Principal
CVS Health,Alyssa Reisner,Investor
Medable,Jeff Parker,Sr. Director of Brand Experience
Black Opal Ventures,Tara Bishop,Co-Founder and Managing Partner
"Bowdoin Group, The",Katelyn Marini,Managing Director
Mathematica,ALEX BOHL,Director of Data Innovation
Marley Medical,Sibel Sayiner,Director of Commercial Strategy
Hyro.ai,Sydnee Silverberg,Field Marketing Specialist
Coeus Health,Madison McBay,Product Manager
Care Sherpa,Jessica Walker,Founder & CEO
Coeus Health,Oran Muduroglu,CEO
XOOR,Mauricio Payetta,CEO
The Cigna Group Ventures,Matt Blum,Principal
INFUSE Health,Walt Phillips,Vice President
OutCare Health,"Dustin Nowaskie, MD","Founder & President, Psychiatrist"
The Cigna Group Ventures,Maddi Holman,Senior Associate
The Cigna Group Ventures,Anna Vu,Senior Associate
The Cigna Group Ventures,Lily Schoen,Associate
InterSystems,Andy Zook,VP of NA Sales
Sumitomo Pharma,Gazeleh Vakili,"Director, Digital Health Innovation"
Comcast Ventures,Ryan Lee,Principal
dacadoo,Blake Hill,"Vice President, North America"
The Cigna Group Ventures,Tom Olenzak,Managing Director
Medecision,Jessica Geiger,Executive Assistant/Event Coordinator
Validic,Jordan Bowlus,"Vice President, Client Success"
Surescripts,Bishoy Saleeb,Senior Business Development Analyst
The Center,Kevin Starnes,"CIO & Director, Information Technology"
Healthy Ventures,Madi Bradley,Vice President
Emtelligent,Jennifer Canfield,"Executive Vice President, Growth & Strategy"
Surescripts,Kate Giaquinto,Corporate Communications Manager
Syntax Health,Rachael Jones,"Founder, CEO"
HPG,Kellie Barnett,"Epic Practice Director, Application Services"
Molina Healthcare,Paisley Bowles,Director Business Development
Health Enterprise Partners,Scott Whyte,Partner
Surescripts,Mike Holz,Vice President
First Dollar,Josh Hostetler,Content Director
ClearDATA,Ryan Sigman,Account Executive
Baker Tilly,Kat Mako,Business Development Director
CareCentrix,Meagan Winthrop,"AVP, Business Development"
Innovestor Life Science Fund,Marko Kuisma,Partner
AccessHope,Mark Stadler,CEO
Clearsense,Matthew Madden,Director Sales Ops & Support
Apprio,Rodney Napier,Chief Marketing & Strategy Officer
lotic.ai,Chris DeBernard MD,"Doctor of Medicine, In Residence"
Clearsense,Terri Mikol,Data Governance Advisor
Gray Oncology Solutions Inc,"André Diamant, PhD",Founder
DrFirst,Brian Bircher,"Vice President of Regional Sales, West Sector"
HealthTalk A.I.,Jeremy Mitchell,"VP, Marketing"
Andor Health,Chandra Turner,"VP, Sales - Western Region"
HealthTalk A.I.,Jerrod Ullah,CEO
Phase2,Kathleen Veneziano,Managing Director
Phase2,Hadley Ristvedt,Account Director
Strata Decision Technology,Melissa OConnor,"Senior Manager, Business Development & Events"
Phase2,Ben Coit,Managing Director
Phase2,Terry Stephenson,Managing Director
TestDynamics,Lior Eshel Ansher,CEO
hellocare by Solaborate,Labinot Bytyqi,Founder and CEO
hellocare by Solaborate,Aida Gashi,Marketing Manager
hellocare by Solaborate,Valdrin Lluka,Chief Growth Officer
Wheel,Olivia Prater,Event Consultant
Paperplane Therapeutics,Roxanne Viau,Director of strategic partnerships
Metriport,Colin Elsinga,Co-Founder & COO
52 North Health Ltd,Umaima Ahmad,CEO
Tidelift,Amy Hays,head of demandgen
National Institute on Aging,Joy Toliver,Program Director
Imago Rehab,Kristin Nuckols,"Cofounder, Chief Clinical Officer"
WELFIE,Steven Moyo,CEO
Mednition,Ryan Kuriakose,Marketing Lead
IIA Healthcare,Ubaldo Ciminieri,Co-Founder
Mighty Health,James Li,Co-founder and CEO
Credenti LLC,Jeremy Wente,VP of Strategic Alliances
InvestHealth,Ky Arnold,Co-Founder
hit that noggin,Hatim Barma,Founder and Executive Consultant
PwC,Brandon Fisher,US Salesforce Sales Leader
HealthXL,Chandana Fitzgerald,CEO
tECHNOpULM,Shabtay Negry,CEO
Simpl Healthcare,Vineet Daniels,CEO
"ONSCREEN, Inc",Costin Tuculescu,CEO
Axle Health,Adam Stansell,CEO
Elo Touch Solutions,Phil Jalbert,Business Development Manager - Healthcare
Tech Council Ventures,Mark Kolb,Partner
Erace Holding BV,Edwin Oude Middendorp,CEO
Lazard,Matthew Schorr,Director
Endeavour Vision,Daniel van den Bergh,Senior Investment Director
"CopilotIQ, Inc.",David Koretz,CEO
Genome Medical,Kristin Ashcraft,COO
SGG Inc,Siobhán Gibney Gomis,Managing Partner
Tendo,Carly Ray,Sr. Director Marketing
Venture Investors Health Fund,Jenni Le,Associate
Novartis,Gloria Vanderham,CEO
Cordea Consulting,Diane Bender,Regional Vice President Sales
Velatura Public Benefit Corp.,Angie Bass,Executive Vice President
"Fuse Oncology, Inc.",James Bauler,CEO
IBM,Eduardo Garcia,Client Partner
Huntzinger Management Group,Stephanie Wallace,"Vice President, Sales Operations"
Huntzinger Management Group,Justin Stefano,Sales Director
Sidebench,Kevin Yamazaki,CEO/Founder
KeyCare,Lyle Berkowitz,CEO
Optimum Healthcare IT,Larry Kaiser,Chief Marketing Officer
Healthgrades,Christopher Swartz,Senior Product Manager
STS Cymetryc,Jennifer Lyle,Chief Innovation Officer & Founder
Maveron,Anarghya Vardhana,General Partner
uPerform,Andrea Rolland,Senior VP Sales & Marketing NA
"SalesSparx, LLC",Reese Gomez,CEO/Founder
Tampa General Hospital,Scott Arnold,Executive Vice President & CIO
NeedleSmart,Michael Barron,COO
FluidAI Medical,Youssef Helwa,CEO
Molecular Testing Labs,James York,Chief Commercial Officer
"SalesSparx, LLC",Frank Nash,Sales Acceleration VP
Kaleyra,Zachary Konopka,"US, Head of Partnerships & Development"
"SalesSparx, LLC",Kristin Lenahan,Sales Acceleration VP
The Krinsky Company,Tushar Srivastava,Senior Associate
Linus Health,Curt Thornton,Chief Growth Officer
Stanford University,Nirav Shah,Senior Scholar
Cozen O'Connor,Angela Lupardus,Director of Business Development - Health Law
Clarity Quest,Christine Slocumb,President
Neteera Technologies Ltd,Rachel Weissberg,Head of Healthcare Provider Strategy
Alpha II,Todd Doze,CEO
IBM,Julien Willard,"Partner, Pharma Strategy Leader"
Healthworx Studio,Michael Batista,Managing Partner
Health Gorilla,Stacy Fox,"VP, Sales"
University of Colorado Health,Mark Clark,VP Information Technology
inVerita,Oleh Pylyp,Business Development Manager
Revelation Partners,Keegan Hasson,Associate
Molecular You,Gene Shkolnikov,CTO
RTI LLC,Bobby Shah,CEO
OCV Partners,Thea Pham,Associate
Molecular You,Robert Fraser,President and CSO
Withings Health Solutions,Ally Lloyd,Marketing Manager
Foley,T.J. Ferrante,Partner
ProVention Health Foundation (NACDD),John Patton,Vice President Innovation & Partnerships
"Empo Health, Inc.",Anuj Khandelwal,CEO
Withings,Antoine Robiliard,VP of Health Solutions
twenty30 health,Rajesh Aggarwal,CEO and Founder
Sidekick Health,Mitch Mudra,"COO, Head of US Payer Business"
Sidekick Health,Christopher Fang,Chief Medical Officer & President of R&D
Elation Health,Fareed Taghvaee,Senior Director of Strategic Partnerships
Genzeon,Sarah McGuckin,Events and Operations Coordinator
ViTel Net,Mark Noble,COO
GE Healthcare,Andrew DeLao,Chief Strategy and Marketing Officer
Paubox,Rylie Mahoney,Sales Coordinator
GE Healthcare,Karen Tam,"Senior Director, Strategy & Growth Ventures"
Calibrate,Scott Honken,President & Chief Commercial Officer
Frist Cressey Ventures,Navid Farzad,Partner
Canaccord Genuity,RICHARD CLOSE,MANAGING DIRECTOR
"Execullence, LLC",Mark Rangell,Managing Partner
Radian,Maxwell Murray,Director of Operations & Growth
Science Center,Tracy Brala,"SVP, Strategy & Partnerships"
X by 2,David Ollila,"Sr. Director, Healthcare"
PicassoMD,Reza Sanai Sanai,Cofounder and CoCEO
Foley & Lardner LLP,RACHEL GOODMAN,Partner
MacroHealth,David Angelone,Chief Commercial Officer
The Tolan Group,Tim Russell,Managing Partner
Gauge Capital,Chris Garvin,Principal
BAYOOMED,Miriam Schulze,CEO & Co-Founder
Summus,Sarah Baker,Senior Director of Product Marketing
Match Point Partners,Jan Barker,Managing Director
CDW Healthcare,Elliott Wilson,Principal
Novo Nordisk,Merrie Kay Alzola,"Employer Account Manager, Obesity"
Yamaha Motor Ventures,Ryan McCrackan,Senior Associate
Samsung SDSA,Daniel Hosseini,"Manager, Digital Health Solutions"
dacadoo,Paul van Reede,Head of Health
Vouched,John Baird,CEO & Co-Founder
Kiro,Alexandre Guenoun,CEO
MacroHealth,Steve Suter,Chief Operating Officer
Kiro,Guillaume Orlando,Chief Partnerships Officer
Foley & Lardner LLP,Matthew Horton,Senior Counsel
COPE Health Solutions,Payton Meyer,Sales Operations Manager
Evergreen Healthcare Partners,Drew Madden,CEO
Foley & Lardner LLP,Eric Sophir,Partner
OpenLoop Health,Bailey Hawn,Senior Director of Commercial
X by 2,Cole Sieja,Senior Associate
OpenLoop Health,Jon Lensing,CEO & Co-Founder
Withings,Sadie Moore,Sales Manager
University of Missouri Health Care,Roy Hartline,Executive Director - Industry Partnerships
Withings,Charlotte Viard,Business Development Representative
InterSystems,Robin Moritz,Event Manager
Withings,Haley English,Account Executive
Parlance,Alexandra Karasic,Marketing Director
Withings,Cole Handy,Account Executive
Parlance,Sheila Kelly,Sales Executive
Andor Health,Jennifer Skitsko,SVP
eVideon,Bryan Boudreau,Regional Vice President Sales
Janus AI,James McHugh,Managing Director
Experis Health Solutions,Noel Allender,"Vice President, Vendor Solutions"
Astellas - Rx+ Innovation,Jesse Cornacchione,Head of Partnerships
Genzeon,Pranita Rai,"Senior Director, Client Engagement"
Genzeon,Harsh Singh,"General Manager,  Healthcare Department"
"Bill Lucia Associates, LCC",William Lucia,Managing Director
Gozio Health,Brittany Jones,"Vice President, Sales"
Vouched,Todd Bloom,GTM Lead & Partnerships
Gozio Health,Lea Chatham,VP of Marketing
CERIS,Toni Case,"VP, National Sales"
kore.ai,Sri Vangala,"SVP, Healthcare"
Curavit Clinical Research Corp.,Troy Hall,"Director, Business Development"
Curavit,Chris O'Shaughnessy,"Vice President, Business Development"
STChealth,Tom Groom,COO
"CenTrak, Inc.",Kendall Brown,Sales Director
Samsung,Ken Honeycutt Honeycutt,Samsung Health
Sensentia,Jan Jungclaus,CEO
DRI,Mike Silverstein,Managing Partner of Healthcare IT & Life Sciences
Liquid Amber,Acacia Parks,Lead Consultant
EvidenceCare,Jim Jamieson,Chief Revenue Officer
iMethods,Tripp Drawdy,Vice President of Client Results
MAKE Solutions Inc.,Patti Marshall,CEO
MAKE Solutions Inc.,Brian Kottenstette,VP Consulting
"Valtruis, a WCAS Company",Jess BOSSMANN,Vice President
Keen Insurance Services,Scott Matthews,CEO
Providence Ventures,Branden Fini,Principal
Curai Health,Nicole Bell,Chief Business Officer
Innsena,Nadine Peever,Market Access Director
Healthie,Stefanie Mendez,Director of Marketing
Healthie,Jenna Parker,Chief of Staff
RAE Communications,Heather Caouette,Principal
Bertelsmann,Matt Gallop,Director
Kintsugi Health,Josh Pappas,Senior Director of Growth
Onbe,Doug Cannon,"Director, Sales Executive"
Get-to-Market Health,Steve Shihadeh,CEO & Founder
NeoPrediX,Thorsten Waloschek,CEO
Milliman Advanced Risk Adjusters,"Austin Barrington, FSA, MAAA",Consulting Actuary
The Business Acumen Consulting Group,Matthew Smith,President & Owner
ImageMoverMD,Laura Brown,Chief Clinical Officer
Bluebird Tech Solutions,Rebecca Woods,Founder
iMethods,"Jason Fouraker, CPHIMS",Vice President of Client Success
OM Partners,Jack Jeong,Partner
Mineral,Michael Rojas,Enterprise Account Executive
Verisma,Max Chan,"VP, Business Development"
Apero Health,Jacinda Shelly,Co-Founder
Otsuka America Pharmaceuticals,Jeff Weness,Head of Digital Opportunities
Mix Talent,Alejandra Sibemhart Roblin,"Recruiting Lead, HealthTech"
Seiso,Jon Zeolla,CTO
DirectTrust,Scott Stuewe,President and CEO
Innsena,Carrie Paykoc,Director
Spire Health,Aashish Mody,CCO
AnalyticsIQ,Christine Boley Lee,Head of Health Partnerships
Deep 6 AI,Doug Cassidy,Vice President
DrFirst,Erin Lease Hall,"Sr Manager, Events Marketing"
Celtic House Asia Partners,Qidong Jia,General Partner
THL Partners,Sam Hendler,Managing Director
HLTH,Keri Singer,Marketing
Cognizant,Robert Barronton,Account Executive
Oracle Health,Lance Olson,"Vice President, Health Data and Analytics"
McDermott Will & Emery,Angus McQuilken,Industry Relationship Executive - Life Sciences
Mitsui,Yukitaka Kojima,Investor
University of Minnesota,"Shannon Lunn, RN, CRN-BC, CNMAP",Clinical Research Coordinator Nurse | MBA Candidate
